title,location,url,startdate,enddate,type,price,solddate
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A6,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A7,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A7B,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A8,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST A9,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B1,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B2,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B3,"8,000",2023-12-29
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B4,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B5,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B6,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B7,"8,000",
Fuchsia Presents Ben Klock,Fuchsia Bangkok,https://www.ticketmelon.com/fuchsiabkk/benklockatfuchsia,2024-01-05,2024-01-05,ST B8,"8,000",
